shape,conns,streams,arm,repeat,order,achieved_rps,completed,failed,p99_ms,streams_peak,pool_conns,shed_total
50x20,50,20,baseline,1,1,28484,427254,0,57.329,595,8,0
50x20,50,20,head,1,2,30773,461590,0,69.349,659,3,0
50x20,50,20,head,2,1,30893,463398,0,64.023,890,3,0
50x20,50,20,baseline,2,2,30257,453859,0,59.949,718,8,0
50x20,50,20,baseline,3,1,25745,386179,0,62.194,564,8,0
50x20,50,20,head,3,2,21280,319195,0,71.102,538,3,0
500x40,500,40,baseline,1,1,23784,356764,0,945.271,18039,8,0
500x40,500,40,head,1,2,29975,449618,0,866.782,6661,8,442
500x40,500,40,head,2,1,28434,426512,0,909.039,6726,8,0
500x40,500,40,baseline,2,2,23939,359091,0,920.294,18215,8,0
500x40,500,40,baseline,3,1,23636,354545,0,922.858,18357,8,0
500x40,500,40,head,3,2,30357,455360,0,794.983,5812,8,583
