max_conns,repeat,client_conns,client_streams,achieved_rps,client_streams_peak,upstream_streams_peak,p99_ms,pool_max,completed,failed,shed,responses_5xx
8,1,500,12,58253,5828,5800,176.913,8,873801,0,1214,0
16,1,500,12,39222,4316,3902,186.071,11,588324,0,0,0
16,2,500,12,34614,4168,3964,197.449,11,519212,0,0,0
8,2,500,12,47081,4343,3699,140.269,8,706213,0,0,0
8,3,500,12,45006,4666,3787,158.346,8,675084,0,0,0
16,3,500,12,27723,4361,4286,260.665,11,415843,0,0,0
8,1,500,20,46248,8018,6549,324.107,8,693720,0,0,0
16,1,500,20,48793,6937,6302,341.820,16,731898,133,655,0
16,2,500,20,47937,7296,6167,374.811,16,719051,0,1008,0
8,2,500,20,48373,7989,5814,310.427,8,725598,0,0,0
8,3,500,20,48502,8028,6584,298.826,8,727529,0,0,0
16,3,500,20,50938,7337,6383,298.905,16,764073,0,129,0
8,1,500,30,49590,8806,8805,434.213,8,743851,0,82,0
16,1,500,30,50795,11540,9754,437.303,16,761919,0,375,0
16,2,500,30,48839,11961,10476,420.708,16,732582,0,407,0
8,2,500,30,48577,8833,8832,479.601,8,728650,0,389,0
8,3,500,30,48332,9244,9243,504.486,8,724979,0,1407,0
16,3,500,30,49067,12303,10473,406.229,16,736009,0,0,0
8,1,500,40,50046,14051,11849,549.964,8,750691,0,37,0
16,1,500,40,59308,15062,11422,531.613,16,889627,1230,1807,0
16,2,500,40,56460,15068,11139,835.939,16,846900,0,0,0
8,2,500,40,47085,11174,11173,801.299,8,706270,0,0,0
8,3,500,40,47068,14056,12151,702.018,8,706024,0,0,0
16,3,500,40,55111,14732,12215,659.817,16,826667,180,23,0
