rate,arm,repeat,order,seq,achieved_rps,p50_ms,p99_ms,p999_ms,max_ms,pool_conns_peak,shed_total
10000,queue,1,1,1,10000,0.130,0.393,9.979,17.534,1,0
10000,eager,1,2,2,10000,0.129,0.698,14.780,28.923,1,0
10000,eager,2,1,3,10000,0.131,0.776,14.365,21.214,1,0
10000,queue,2,2,4,10000,0.131,0.630,9.208,14.798,1,0
10000,queue,3,1,5,10000,0.129,0.512,22.281,30.108,1,0
10000,eager,3,2,6,10000,0.132,0.878,6.666,9.912,1,0
10000,eager,4,1,7,10000,0.130,0.511,9.072,16.673,1,0
10000,queue,4,2,8,10000,0.130,0.344,4.367,9.664,1,0
10000,queue,5,1,9,10000,0.135,0.492,4.978,14.084,1,0
10000,eager,5,2,10,10000,0.143,0.377,2.773,8.584,1,0
10000,eager,6,1,11,10000,0.132,0.293,0.410,0.759,1,0
10000,queue,6,2,12,10000,0.127,0.205,0.379,1.306,1,0
20000,queue,1,1,13,20000,0.550,22.084,22.732,23.092,1,0
20000,eager,1,2,14,20000,0.295,18.404,28.929,30.889,2,0
20000,eager,2,1,15,20000,5.732,27.808,36.961,51.010,4,0
20000,queue,2,2,16,19998,73.283,91.975,117.949,138.632,5,28
20000,queue,3,1,17,20000,138.516,209.151,269.223,307.216,8,9
20000,eager,3,2,18,19984,111.802,215.361,228.030,241.886,8,244
20000,eager,4,1,19,19302,140.403,307.727,332.282,425.015,8,10467
20000,queue,4,2,20,19419,158.340,315.015,362.815,450.712,8,8664
20000,queue,5,1,21,18208,131.454,388.360,410.978,426.297,8,28234
20000,eager,5,2,22,18448,84.945,438.620,575.143,644.910,8,31127
20000,eager,6,1,23,18046,157.536,394.066,417.779,433.766,8,39595
20000,queue,6,2,24,16736,232.384,409.214,472.834,515.286,8,57641
30000,queue,1,1,25,13129,342.925,793.097,1033.159,1481.961,8,254335
30000,eager,1,2,26,15925,271.925,631.906,813.487,1092.746,8,213998
30000,eager,2,1,27,20445,195.542,450.904,585.036,830.362,8,172734
30000,queue,2,2,28,20469,187.285,434.136,581.797,817.753,8,171417
30000,queue,3,1,29,17841,231.365,444.295,583.820,781.711,8,202787
30000,eager,3,2,30,24045,168.606,279.337,318.603,343.515,8,116600
30000,eager,4,1,31,25162,153.432,306.136,333.007,369.227,8,76924
30000,queue,4,2,32,19046,196.602,791.675,1044.394,1344.836,8,164321
30000,queue,5,1,33,16342,284.280,687.644,837.381,1004.605,8,210666
30000,eager,5,2,34,16594,239.106,605.722,753.647,1211.100,8,205398
30000,eager,6,1,35,18649,222.084,650.136,841.302,995.704,8,186595
30000,queue,6,2,36,19933,197.484,568.170,732.574,851.390,8,151607
