profile,offered_rps,achieved_rps,completed,failed,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,closed_loop_p99_ms,dispatch_lag_p99_ms,streams_peak,allocator
throughput,2000,2000,30000,0,0.395,0.426,0.549,5.460,8.882,0.410,0.150,1,system
throughput,5000,5000,75000,0,0.152,0.164,0.347,34.102,48.067,0.274,0.081,1,system
throughput,10000,10000,150000,0,0.129,0.142,0.345,14.956,31.864,0.290,0.060,0,system
throughput,15000,15000,224999,0,0.139,0.166,0.319,5.422,12.661,0.283,0.044,1,system
throughput,20000,20000,300000,0,0.150,0.249,0.400,3.431,14.391,0.369,0.045,59,system
throughput,25000,25000,375000,0,32.804,37.717,40.080,42.170,46.921,40.062,0.060,557,system
throughput,30000,30000,450005,0,193.102,276.604,312.820,330.006,355.333,306.904,39.761,6290,system
throughput,40000,40000,600000,0,215.212,304.112,425.616,449.789,511.311,319.040,220.834,6533,system
throughput,50000,50000,750000,0,189.770,242.704,312.843,378.076,485.034,193.131,149.019,6595,system
concurrency,1000,18718,280770,0,52.557,57.524,66.934,78.238,103.675,66.934,0.000,503,system
concurrency,4000,22663,339941,0,178.205,189.638,191.914,193.834,255.561,191.914,0.022,1503,system
concurrency,10000,48146,722189,0,206.525,252.051,301.217,337.274,399.925,301.216,0.039,7904,system
concurrency,20000,46817,702252,0,418.292,502.608,594.883,641.603,699.506,594.883,0.032,7139,system
