conns,streams_per_conn,repeat,idle_rss_kb,peak_rss_kb,settled_rss_kb,peak_streams,peak_bridge_bytes,live_after,achieved_rps,completed,failed,shed,responses_5xx
500,2,1,5696,37984,38000,959,2048,0,39304,589556,0,0,0
500,8,1,5680,45456,45456,3015,3072,0,33341,500109,0,0,0
500,20,1,5696,67696,67728,8764,3072,0,69347,1040210,0,0,0
500,40,1,5648,84384,84416,9363,3072,0,71491,1072369,0,1454,0
500,80,1,5696,89456,89488,18120,3072,0,71814,1077214,0,0,0
500,120,1,5680,112688,112688,30702,3072,0,68718,1030768,0,5442,0
500,120,2,5712,105824,105824,24904,3072,0,71175,1067632,0,2925,0
500,80,2,5680,88544,88560,16118,4096,0,71339,1070092,0,0,0
500,40,2,5728,73744,73760,14103,3072,0,70487,1057311,0,0,0
500,20,2,5696,84160,84192,8102,3072,0,66958,1004376,0,0,0
500,8,2,5680,45264,45280,3102,3072,0,32639,489590,0,0,0
500,2,2,5728,38128,38176,977,2048,0,24560,368406,0,0,0
500,2,3,5728,37872,37920,949,2048,0,36856,552839,0,0,0
500,8,3,5696,45776,45808,3201,3072,0,31849,477737,0,0,0
500,20,3,5712,67584,67600,7931,3072,0,68144,1022155,0,0,0
500,40,3,5744,80592,80640,14983,4096,0,70739,1061082,0,232,0
500,80,3,5680,88928,88944,21330,4096,0,70569,1058534,0,365,0
500,120,3,5680,98976,99024,21691,3072,0,64586,968790,0,0,0
