mode,setpoint,achieved_rps,p50_ms,p99_ms,p999_ms,max_ms,service_p99_ms,lag_p99_ms
open,5000,5000,0.147,0.243,2.585,10.221,0.184,0.064
closed,1,34383,1.458,1.747,2.416,6.462,1.747,0.000
open,10000,10000,0.125,0.270,3.893,10.086,0.225,0.048
closed,2,31070,3.219,3.726,6.423,17.128,3.726,0.000
open,15000,15000,0.132,3.462,10.936,16.096,2.332,0.949
closed,4,28875,7.115,7.694,13.307,28.532,7.694,0.000
open,20000,20000,0.145,0.512,6.927,13.472,0.465,0.072
closed,8,40089,10.441,11.981,20.425,41.397,11.980,0.019
open,25000,25000,0.856,6.517,12.783,22.541,6.470,0.071
closed,16,47324,17.497,22.959,26.228,42.579,22.958,0.048
open,30000,30000,235.815,435.277,446.446,466.344,435.256,3.497
closed,32,47136,32.675,52.237,56.228,73.255,52.235,0.056
open,40000,40000,310.196,373.603,387.125,401.160,373.573,5.176
closed,64,44188,72.275,105.750,110.275,147.853,105.747,0.055
open,50000,50000,252.949,302.974,345.045,373.085,302.949,12.380
closed,128,82091,82.499,103.727,131.550,182.098,103.725,0.068
