conn_window,stream_window,max_concurrent_streams,achieved_rps,p50_ms,p99_ms,p999_ms,bulk_mbps,bridge_peak_bytes,stalls
262144,65536,256,20000,0.145,0.873,8.864,244.8,66560,0
262144,262144,256,20000,0.146,14.323,1675.969,272.6,242688,0
1048576,65536,256,20000,0.152,0.644,6.074,216.0,66560,0
1048576,262144,256,20000,0.147,0.487,9.154,274.0,262144,0
1048576,1048576,256,20000,3.122,125.142,158.367,294.2,327680,0
4194304,65536,256,20000,0.301,125.579,159.268,232.7,67584,0
4194304,262144,256,20000,0.250,7.999,8.396,282.5,263168,0
4194304,1048576,256,20000,0.177,1.449,9.875,281.9,951296,0
16777216,65536,256,20000,0.242,147.871,209.482,214.3,68608,158
16777216,262144,256,20000,0.179,1.165,11.069,246.6,262144,0
16777216,1048576,256,20000,0.178,0.778,3.799,278.7,902144,0
